Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study,Citation,Includes Race?,Indigenous Variable Mentioned,"Indigenous Variables - included, excluded, aggregated",Aggregation variable,Reason,Number of Cities,Census Unit,Number of Census Units,Independent Variable,Dependent Variable,Result,Country
Nature inequity and higher COVID-19 case rates in less-green neighbourhoods in the United States,"Spotswood, E.N.; Benjamin, M.; Stoneburner, L.; Wheeler, M.M.; Beller, E.E.; Balk, D.; McPhearson, T.; Kuo, M.; McDonald, R.I.","Urban nature—such as greenness and parks—can alleviate distress and provide space for safe recreation during the COVID-19 pandemic. However, nature is often less available in low-income populations and communities of colour—the same communities hardest hit by COVID-19. In analyses of two datasets, we quantified inequity in greenness and park proximity across all urbanized areas in the United States and linked greenness and park access to COVID-19 case rates for ZIP codes in 17 states. Areas with majority persons of colour had both higher case rates and less greenness. Furthermore, when controlling for sociodemographic variables, an increase of 0.1 in the Normalized Difference Vegetation Index was associated with a 4.1% decrease in COVID-19 incidence rates (95% confidence interval: 0.9–6.8%). Across the United States, block groups with lower income and majority persons of colour are less green and have fewer parks. Our results demonstrate that the communities most impacted by COVID-19 also have the least nature nearby. Given that urban nature is associated with both human health and biodiversity, these results have far-reaching implications both during and beyond the pandemic. © 2021, The Author(s).",2021,Nature Sustainability,4,12,1092-1098,10.1038/s41893-021-00781-9,#3389,Spotswood 2021,"Spotswood et al., 2021",,,,,,,,,,,,
"Does exposure to air pollution in urban parks have socioeconomic, racial or ethnic gradients?","Su, J.G.; Jerrett, M.; de Nazelle, A.; Wolch, J.R.","Little is known about the levels of air pollution at public parks where regular exercise takes place or in park-adjacent neighborhoods where people have easy access to parks. In this study we investigated the ambient concentrations of criteria pollutants nitrogen dioxide (NO<inf>2</inf>), fine particulate (PM<inf>2.5</inf>) and ozone (O<inf>3</inf>) at public parks and in park-adjacent neighborhoods for metropolitan Los Angeles. Socioeconomic and racial-ethnic inequalities in exposure to the three criteria pollutants were also investigated using multiple linear regression models. In addition, differences in inhalation doses from breathing the three +criteria pollutants were investigated for the top and bottom quartile racial composition in the parks and neighborhoods. Our research showed that although public parks had on average the lowest pollutant concentrations of NO<inf>2</inf> and PM<inf>2.5</inf>, they had relatively high O<inf>3</inf> concentrations. Park-adjacent neighborhoods, by contrast, had the highest NO<inf>2</inf> and PM<inf>2.5</inf> concentrations, but the lowest O<inf>3</inf> concentrations. Higher exposures to NO<inf>2</inf> and PM<inf>2.5</inf> were systematically identified for the lower socioeconomic position or higher minority population neighborhoods. For children and adolescents aged 6-15 engaging in high and moderate intensity activities in and around public parks, those from the top quartile of primarily Hispanic neighborhoods had much higher (63%) inhaled doses of NO<inf>2</inf> compared to the bottom quartile counterpart. PM<inf>2.5</inf> showed a similar but less pronounced pattern of inhalation doses. Evidence of socioeconomic and racial-ethnic gradients was found in air pollution exposure and inhalation doses in and around the urban parks in Los Angeles. This suggests that patterns of exposure inequality found in other environmental justice research are present in exposures in and around urban parks. © 2011 Elsevier Inc.",2011,Environmental Research,111,3,319-328,10.1016/j.envres.2011.01.002,#5426,Su 2011,"Su et al., 2011",,,,,,,,,,,,
"Spatial inequities in greenspace: a spatial durbin model analyzing socio-demographic factors, heat risk, and neighborhood effects","Sugg, M.M.; Ryan, S.C.; Rankins, H.A.; Ulrich, S.E.; Runkle, J.D.","Greenspace research has traditionally centered on urban environments, emphasizing the protective effects of greenspace within cities. However, emerging evidence indicates that greenspace also provides substantial health benefits in rural and suburban areas, challenging the urban-centric bias. This study addresses these gaps by conducting a comprehensive spatial analysis in North Carolina, focusing on greenspace disparities (e.g., greenspace per person, greenspace area, trail length per person) faced by overburdened and marginalized populations. Using a spatial durbin model, we assessed direct and indirect effects, including demographic factors and spillover impacts from neighboring communities. Results revealed that greenspace per person is negatively associated with youth presence (β = − 0.102, p = 0.012) and lower education levels (β = − 0.102, p = 0.045). Rural tracts exhibit higher greenspace availability per person (β = 0.135, p = 0.007), though often lacking in recreational amenities. Playgrounds showed contrasting trends, with higher income (β = 0.446, p = 0.042) and youth presence (β = 0.591, p = 0.001) linked to increased playground space, while rural (β = − 0.827, p < 0.001) and Hispanic populations (β = − 0.599, p = 0.001) faced deficits. Trail length analysis highlighted indirect positive effects for Black populations (lagged β = 0.605, p = 0.004) and income (lagged β = 0.536, p = 0.026) in neighboring tracts, offset by negative youth impacts (lagged β = − 0.831, p < 0.001). Contrary to expectations, no significant direct association was found between Black residents and greenspace within tracts. Instead, socioeconomic class emerged as a more critical determinant, with lower-income areas facing deficits and higher-income areas benefiting from increased greenspace. Additionally, areas with limited greenspace access experience heightened heat risks, underscoring broader environmental disparities. These findings highlight the need for localized and spillover-sensitive approaches to greenspace planning, addressing barriers for marginalized communities and mitigating environmental inequities. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.",2025,GeoJournal,90,2,,10.1007/s10708-025-11328-2,#824,Sugg 2025,"Sugg et al., 2025",,,,,,,,,,,,
Park Quality in Racial/Ethnic Minority Neighborhoods,"Suminski, RR; Connolly, EK; May, LE; Wasserman, J; Olvera, N; Lee, RE","Public spending on parks in racial/ethnic minority areas lags behind spending in more affluent areas. Limited resources could result in poor quality parks in turn creating additional barriers to physical activity. However, the quality of parks in these areas has not been adequately investigated. The purpose of this study was to conduct an empirical examination of the associations between the quality of park characteristics and the demographics of residents living around the park. The Physical Activity Resource Assessment instrument was used to evaluate the quantity and quality of features and amenities in 68 urban parks. The U.S. Census 2010 data were used to describe the populations residing in the areas surrounding the parks. Results indicated that parks in areas with higher percentages of racial/ethnic minorities had poorer quality features and amenities (p < 0.01). These associations remained significant after controlling for the effects of park size and median income. It was concluded that park quality varied systematically with the racial/ethnic composition of the neighborhoods surrounding the parks. These results warrant future investigation as to why park quality is lower in racial/ethnic minority neighborhoods and how such a disparity affects physical activity.",2012,ENVIRONMENTAL JUSTICE,5,6,271-278,10.1089/env.2012.0013,#8763,Suminski 2012,"Suminski et al., 2012",,,,,,,,,,,,
Using machine learning to examine street green space types at a high spatial resolution: Application in Los Angeles County on socioeconomic disparities in exposure,"Sun, Y.; Wang, X.; Zhu, J.; Chen, L.; Jia, Y.; Lawrence, J.M.; Jiang, L.-H.; Xie, X.; Wu, J.","Background: Compared to commonly-used green space indicators from downward-facing satellite imagery, street view-based green space may capture different types of green space and represent how environments are perceived and experienced by people on the ground, which is important to elucidate the underlying mechanisms linking green space and health. Objectives: This study aimed to evaluate machine learning models that can classify the type of vegetation (i.e., tree, low-lying vegetation, grass) from street view images; and to investigate the associations between street green space and socioeconomic (SES) factors, in Los Angeles County, California. Methods: SES variables were obtained from the CalEnviroScreen3.0 dataset. Microsoft Bing Maps images in conjunction with deep learning were used to measure total and types of street view green space, which were compared to normalized difference vegetation index (NDVI) as commonly-used satellite-based green space measure. Generalized linear mixed model was used to examine associations between green space and census tract SES, adjusting for population density and rural/urban status. Results: The accuracy of the deep learning model was high with 92.5% mean intersection over union. NDVI were moderately correlated with total street view-based green space and tree, and weakly correlated with low-lying vegetation and grass. Total and three types of green space showed significant negative associations with neighborhood SES. The percentage of total green space decreased by 2.62 [95% confidence interval (CI): −3.02, −2.21, p < 0.001] with each interquartile range increase in CalEnviroScreen3.0 score. Disadvantaged communities contained approximately 5% less average street green space than other communities. Conclusion: Street view imagery coupled with deep learning approach can accurately and efficiently measure eye-level street green space and distinguish vegetation types. In Los Angeles County, disadvantaged communities had substantively less street green space. Governments and urban planners need to consider the type and visibility of street green space from pedestrian's perspective. © 2021",2021,Science of the Total Environment,787,,,10.1016/j.scitotenv.2021.147653,#3471,Sun 2021,"Sun et al., 2021",,,,,,,,,,,,
Socioeconomic Factors and Urban Tree Cover Policies in a Subtropical Urban Forest,"Szantoi, Z; Escobedo, F; Wagner, J; Rodriguez, JM; Smith, S","Cities are increasingly promoting policies that increase and conserve urban forests based largely on biophysical and land use-cover metrics. This study demonstrates how socioeconomic factors need to be considered in geospatial analyses when formulating urban greening policies. Using remote sensing, geographical information systems, spatial field and census data, and policy analyses, we analyzed the effectiveness of urban forest cover policies that included socioeconomic factors when quantifying urban forest cover. We found that urban forest cover was heterogeneous across the study area and non-white residents younger than 19 and greater than 45 years old living in rentals were more likely to reside in areas with less urban forest cover than any other age cohort. Our analyses also indicated that urban forest cover was temporally variable and demographic factors unique to Miami-Dade County bring to light the complexity of establishing homogenous, county-wide ""tree canopy"" and urban greening policy goals. We present a localized socioeconomic and ecologically based geospatial approach for formulating urban forest cover goals.",2012,GISCIENCE & REMOTE SENSING,49,3,428-449,10.2747/1548-1603.49.3.428,#6829,Szantoi 2012,"Szantoi et al., 2012",,,,,,,,,,,,
"The social equity of urban service distribution: An exploration of park access in pueblo, colorado, and macon, georgia","Talen, E.","The degree to which urban resources are distributed equitably is a research question that continues to be debated. While research dealing with urban service delivery has proliferated during the last 20 years, few studies have directly linked the spatial distribution of facilities (in the form of accessibility measures) with the spatial distribution of population subgroups in an effort to assess equity issues. In part, this may be caused by the methodological difficulties involved in trying to link these distributions. In this paper, I offer a methodological as well as an empirical contribution to the assessment of equitability in facility distribution. Utilizing data on parks in Pueblo, Colorado, and Macon, Georgia, I analyze the equitability of park distribution by comparing the spatial clustering of park access scores with the spatial clustering of selected socioeconomic variables. There is some empirical evidence that the spatial pattern of low access for Macon corresponds in certain areas to spatial clusters of high housing value and low percentages of non-White residents, while the reverse situation is true for Pueblo (i.e., low access corresponds with low housing value and high percentages of Hispanics). Thus, the results of the analysis do not support the notion of “unpatterned inequality” in urban service distribution. The paper is an application of ideas from exploratory spatial data analysis (ESDA) and represents a new approach to the investigation of equity in the distribution of urban park facilities. © 1997 Taylor & Francis Group, LLC. All rights reserved.",1997,Urban Geography,18,6,521-541,10.2747/0272-3638.18.6.521,#5788,Talen 1997,"Talen, 1997",,,,,,,,,,,,
Who can walk? An analysis of public amenity access in America’s ten largest cities,"Talen, E.","How uneven is the proximity to public amenities like libraries and schools among racial groups, or children and older people? This paper uses a catchment area approach to evaluate walkable proximity to four common public amenities (parks, libraries, schools, and transit stops), looking at four racial categories and a set of variables that one might reasonably expect proximity to be related to (e.g., population density). For each of the 10 largest US cities examined, location quotients for each amenity (libraries, parks, schools, and transit stops) were calculated at three distances (0.25 miles, 0.5 miles, and 1 mile). Across all amenities, the racial group whose LQ had the greatest increase when comparing net median change between distance bands (i.e., between.25 miles and 1 mile) was Black Americans. There were large differences between the location quotient means and medians in non-White racial groups for each amenity, indicating a large amount of skew. In most cities and with most amenities, the difference between mean and median was considerably smaller in White populations, indicating a more normal curve and fewer outliers. Proximity, in other words, seems to be more homogenous in White populations. The LQs were also significantly higher in White populations across cities. Further, in all cities except Los Angeles, Asian populations were generally the most under-represented group for each catchment area around each amenity. The fact that non-White residents predominantly had lower LQs and therefore lower access (with some exceptions, for example, in the case of schools) is a generalized and problematic finding that adds to the body of evidence documenting the spatial injustices that American cities continue to manifest. © The Author(s) 2022.",2023,Environment and Planning B: Urban Analytics and City Science,50,7,1775-1789,10.1177/23998083221142866,#2359,Talen 2023,"Talen, 2023",,,,,,,,,,,,
The National Environmental Public Health Tracking Network Access to Parks Indicator: A National County-Level Measure of Park Proximity.,"Ussery, EN; Yngve, L; Merriam D; Whitfield G; Foster S; Wendel A; Boehmer T","Parks and recreation departments and public health organizations both work to improve the well-being of their communities. Measuring residential proximity to parks could be a specific area of shared interest, given that proximity to parks is needed for walking access, and the use of parks is, in turn, associated with many physical, social, and mental health benefits. The CDC's publicly available National Environmental Public Health Tracking Network (NEPHTN) Access to Parks Indicator (API) focuses on one major component of access, residential proximity to parks. The API uses a commercial parks database and U.S. Census data to estimate the number and percentage of individuals in the U.S. that live within a half-mile of a park boundary, a measure commonly used to represent park proximity. The API is calculated at the state and county levels and is available for all states and counties in the U.S. Using estimates from the API, we examined the distribution of residential proximity to parks by geography and race/ethnicity. Additionally, we evaluated differences in park proximity by rural/urban status of counties. In 2010, 39% of the total U.S. population lived within a half-mile of a park. This percentage varied widely between states, ranging from 9% in West Virginia to 67% in Hawaii and 88% in the District of Columbia (DC). Park proximity was lowest among non-Hispanic whites (34.2%) and highest among individuals belonging to the non-Hispanic other race category (52.0%). Metropolitan counties had the highest percentage of residents living within a half-mile of a park (43.3%); the percentage was lower in non-metropolitan counties adjacent to a metropolitan county (15.0%) and non-metropolitan counties not adjacent to a metropolitan county (18.5%). Park proximity was higher in metropolitan counties with a larger population size and in non-metropolitan counties with a higher degree of urbanization. The NEPHTN Access to Parks Indicator provides an opportunity to understand park proximity in counties and states throughout the U.S., including identifying disparities that may exist between population subgroups and comparing geographic areas. Parks and recreational professionals can use this information to compare their county or state to other geographic areas and, in combination with local data on parks within their jurisdiction, inform decisions to improve the distribution of parks and the well-being of their communities.",2016,J Park Recreat Admi,34,3,52-63,10.18666/JPRA-2016-V34-I3-7119,#5959,Ussery 2016,"Ussery et al., 2016",,,,,,,,,,,,
Greenway development and gentrification,"VanCeylon, J.; Melstrom, R.T.","This paper presents research on expanding access to green spaces in developed areas. Critics claim greenway projects lead to gentrification by increasing the demand for housing and pushing out residents in nearby neighborhoods. We look for evidence of this phenomenon using a sorting model and panel data on aggregate populations in Atlanta. Near the center of the city is a 22-mile greenway known as the BeltLine. Although behaviors initiated within the first half of the study period are consistent with gentrification, we find weak evidence that sorting-based disparities in the post-project period can be attributed to the location and timing of access to BeltLine amenities. © 2025 The Southern Economic Association.",2025,Southern Economic Journal,,,,10.1002/soej.12768,#965,VanCeylon 2025,"VanCeylon & Melstrom, 2025",,,,,,,,,,,,
Disproportionalities in the urban forest: Analyzing the role of stewardship agencies in dictating the distribution of an urban environmental resource,"Varuzzo, A.; Harvey, D.C.","Environmental stewardship in urban areas often involves multiple organizations and actors. Yet very little data exists that takes into account the work of multiple stewardship organizations. And while recent work has presented various drivers of uneven canopy cover, the contribution of local stewardship organizations to those inequalities remains under-explored. Worcester, MA, however, offers an interesting opportunity to look at how unequitable canopies can be reproduced. In 2008, after the Asian Longhorned beetle was discovered in Worcester, Worcester County began a sustained eradication effort and destroyed over 34,000 trees in just six years. Multiple organizations took on the responsibility for restoring the canopy. In this paper, we analyze where the stewardship organizations planted new trees and the main drivers of planting in those locations. Specifically, we explore (1) if the restoration of the canopy was done in an equitable manner, and (2) what were the main predictors of where stewardship organizations worked. Our findings indicate that the inequity in the canopy was reproduced after the Longhorned beetle epidemic. More surprising is that in the spatial error regression model traditional drivers of inequities in the canopy become insignificant. The most significant predictor of where stewardship agencies worked is the presence of other agencies. We end with some recommendations for a more efficient, holistic stewardship environment. © 2017 Elsevier B.V.",2017,Landscape and Urban Planning,167,,232-239,10.1016/j.landurbplan.2017.06.006,#4679,Varuzzo 2017,"Varuzzo & Harvey, 2017",,,,,,,,,,,,
"Exploring the distribution of park availability, features, and quality across Kansas City, Missouri by income and race/ethnicity: an environmental justice investigation.","Vaughan, KB; Kaczynski AT; Wilhelm Stanis SA; Besenyi GM; Bergstrom R; Heinrich KM","BACKGROUND: Parks are key community assets for physical activity, but some evidence suggests these resources are not equitably distributed. PURPOSE: This study examined disparities by income and race/ethnicity in the availability, features, and quality of parks across Kansas City, Missouri. METHODS: All parks and census tracts (CTs) were mapped using geographical information systems, and park features and quality were determined via audits. Multivariate analyses of covariance analyzed differences in park availability, features, and quality across low-, medium-, and high-income and race/ethnicity CT tertiles. RESULTS: Low-income CTs contained significantly more parks, but also had fewer parks with playgrounds and more quality concerns per park. High minority CTs had more parks with basketball courts, but fewer parks with trails. Medium-income CTs contained more aesthetic features per park. CONCLUSIONS: Future research should examine policies that contribute to and that might rectify disparities in park features and quality, especially in low-income and high minority areas.",2013,Ann Behav Med,45 Suppl 1,,S28-38,10.1007/s12160-012-9425-y,#6256,Vaughan 2013,"Vaughan et al., 2013",,,,,,,,,,,,
Monitoring temporal changes in large urban street trees using remote sensing and deep learning,"Velasquez-Camacho, L.; van Doorn, N.; Preisler, H.; Etxegarai, M.; Alas, O.; Gonzalez Castro, J.M.; de Miguel, S.","In the rapidly changing dynamics of urbanization, urban forests offer numerous benefits to city dwellers. However, the information available on these resources is often outdated or non-existent, leading in part to inequitable access to these benefits for the population. Access to equitable and just green spaces is a challenge for local governments, allowing the city’s inhabitants to enjoy a healthy environment. In this context, remote sensing serves as a powerful data source that enables the monitoring of the evolution and dynamics of cities over time, as well as changes in urban forests. For this study, our focus is on large trees, defined as those with a canopy diameter exceeding seven meters. These trees play a vital role in offering ecosystem services that improve the environment, biodiversity, and mental health of the inhabitants of cities. Using deep learning algorithms, we identify the large urban street trees in National Agriculture Imagery Program (NAIP) images and analyze the changes in large street trees over an 18-year period (2005–2022) in six counties of the San Francisco Bay Area. We successfully tracked changes in the presence of large trees in the public right-of-way at the census tract, city, and county levels. We tracked changes in large tree availability at the neighborhood, city, and county levels, revealing socio-demographic disparities. Our analysis found that census tracts with higher household incomes, a greater proportion of individuals who self-identify as white, and more families were positively associated with an increase in large tree canopy. This assessment provides insight into the varying levels of access to ecosystem services offered by large trees across urban environments. This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication.",2025,PLOS ONE,20,06-Jun,,10.1371/journal.pone.0326562,#676,Velasquez-Camacho 2025,"Velasquez-Camacho et al., 2025",,,,,,,,,,,,
Social media analysis reveals environmental injustices in Philadelphia urban parks,"Walter, M.; Bagozzi, B.E.; Ajibade, I.; Mondal, P.","The United Nations Sustainable Development Goal (SDG) target 11.7 calls for access to safe and inclusive green spaces for all communities. Yet, historical residential segregation in the USA has resulted in poor quality urban parks near neighborhoods with primarily disadvantaged socioeconomic status groups, and an extensive park system that addresses the needs of primarily White middle-class residents. Here we center the voices of historically marginalized urban residents by using Natural Language Processing and Geographic Information Science to analyze a large dataset (n = 143,913) of Google Map reviews from 2011 to 2022 across 285 parks in the City of Philadelphia, USA. We find that parks in neighborhoods with a high number of residents from historically disadvantaged demographic groups are likely to receive lower scores on Google Maps. Physical characteristics of these parks based on aerial and satellite images and ancillary data corroborate the public perception of park quality. Topic modeling of park reviews reveal that the diverse environmental justice needs of historically marginalized communities must be met to reduce the uneven park quality—a goal in line with achieving SDG 11 by 2030. © 2023, The Author(s).",2023,Scientific Reports,13,1,,10.1038/s41598-023-39579-4,#2219,Walter 2023,"Walter et al., 2023",,,,,,,,,,,,
Spatial disparities in neighborhood public tree coverage: Do modes of transportation matter?,"Wang, H.; Qiu, F.","Urban green space has various environmental and ecological benefits, and uneven access to such amenities has drawn substantial attention from policy makers in developing sustainable community planning. In this study, we illustrate the spatial distribution of publicly owned and maintained trees in Edmonton, Canada and assess neighborhoods’ heterogeneous tree availability by using the container approach. Through spatial regression models, we further investigate the association of neighborhood public tree availability with socio-economic status (SES). We contribute to the existing literature by taking resident modes of transportation into consideration, in addition to many other commonly examined SES such as household income and ethnicity. Another unique contribution of this study is that we distinguish trees planted on different location types (i.e., boulevard, park, and buffer areas) when exploring the unequal coverage across neighborhoods and among different SES groups. Key results include: (1) a general examination without differentiating location types can lead to misleading results and thus provide inappropriate policy recommendations; (2) resident modes of transportation is a critical factor associated with a neighborhood's public tree coverage; and (3) there exists evident spatial dependence on public tree availability between neighborhoods. The results from this study provide important information to better understand the issue and to allocate public resource (such as tree coverage) more efficiently and effectively to support sustainable community development. © 2017 Elsevier GmbH",2018,Urban Forestry and Urban Greening,29,,58-67,10.1016/j.ufug.2017.11.001,#4651,Wang 2018,"Wang & Qiu, 2018",,,,,,,,,,,,
"Multi-scale analysis of urban forests and socioeconomic patterns in a desert city, Phoenix, Arizona","Wang, Z.; Fan, C.; Que, X.; Liao, F.H.; Ma, X.; Wang, H.","Understanding the relationship between various socioeconomic factors and urban forest structure is essential for directing resources to ensure equitable distribution of green space. Through a case study of a desert city, i.e., Phoenix, AZ, this study provides a novel application of Multiscale Geographically Weighted Regression (MGWR) in which we explore the spatially variable relationships between a wide array of socioeconomic indicators and urban forest attributes. Through the computation of various scales of influence for different explanatory variables, MGWR enhances our analysis’s precision and stresses the association between socioeconomic status and urban forest structure at local and regional scales. Our results indicate that although there has been a pattern of green inequality where minority and low-income communities have less access to urban forests, education levels were mostly insignificant based on the MGWR results. In some instances, higher incomes are negatively correlated with tree canopy coverage. Additionally, the stem density model outperformed the canopy coverage model in terms of prediction accuracy. This research adds a new dimension to urban forestry literature and emphasizes the value of customized urban planning strategies and the environmental justice implications of urban forestry, particularly in arid environments. © The Author(s) 2024.",2024,Scientific Reports,14,1,,10.1038/s41598-024-74208-8,#1399,Wang 2024,"Wang et al., 2024",,,,,,,,,,,,
Socio-Ecological Impacts of the Investment of Urban Nature in Heat Mitigation for Two Megacities,"Wang, J.; Zhou, W.; McPhearson, T.; Cook, E.M.; Herreros-Cantis, P.; Liu, J.","Cities are increasingly adapting green interventions meant to enhance climate resilience, given their capacity to provide numerous ecosystem services (ES). Yet, little is known about ecological and social impacts of such interventions in the context of socio-ecological framework and environmental justice. Here, we used a quantitative and spatial analytical approach to assess the changes of urban greenspace (UG) and examine the equity of changes in ES supply and demand across demographic and socioeconomic groups in Beijing and NYC between 2010 and 2017. Results showed that previously existing green space and its expansion were unevenly distributed across districts. High-income districts in NYC had high green cover and experienced the highest increase of UG, in contrast to high green cover in areas with low population density and the greatest increase of UG in high-income areas for Beijing, respectively. The inequitable distribution of UG resulted in a high level of mismatch in supply demand of ES, revealing a pattern of distributional ecological injustice within city. We also found more ecological supply was provided in the areas having less vulnerability, indicating that social vulnerability remained in a lower greenspace exposure after greening implementation in both cities. Our study contributes to a better understanding on how the dynamics of urban greenspace impact urban climate injustices, and provides new insights for critical urban adaptation interventions or practice on shaping ecological injustice. © 2025. The Author(s).",2025,Earth's Future,13,6,,10.1029/2025EF005976,#692,Wang 2025,"Wang et al., 2025",,,,,,,,,,,,
"Is Planting Equitable? An Examination of the Spatial Distribution of Nonprofit Urban Tree-Planting Programs by Canopy Cover, Income, Race, and Ethnicity","Watkins, S.L.; Mincey, S.K.; Vogt, J.; Sweeney, S.P.","This article examines the spatial distribution of tree-planting projects undertaken by four urban greening nonprofit organizations in the Midwest and Eastern United States. We use a unique data set of tree-planting locations, land use data, and socioeconomic information to predict whether a census block group (n = 3,771) was the location of a tree-planting project between 2009 and 2011. Regression results show tree-planting projects were significantly less likely to have occurred in block groups with higher tree canopy cover, higher median income, or greater percentages of African American or Hispanic residents, controlling for physical and socioeconomic conditions. In addition, when canopy cover or income was low, plantings were even less likely to have occurred in neighborhoods with high percentages of racial or ethnic minorities. Findings suggest nonprofit plantings might reduce existing income-based inequity in canopy cover, but risk creating or exacerbating race-based inequity and risk leaving low canopy minority neighborhoods with relatively few program benefits. © 2016, © 2016 The Author(s).",2017,Environment and Behavior,49,4,452-482,10.1177/0013916516636423,#4724,Watkins 2017,"Watkins et al., 2017",,,,,,,,,,,,
A data-driven investigation on park visitation and income mixing of visitors in New York City,"Wei, H.; Huang, X.; Wang, S.; Lu, J.; Li, Z.; Zhu, L.","It is crucial to understand the current pattern of urban park visitation to achieve environmental justice. Current discussions of environmental equity of parks mainly focus on the inequality provision measured by park accessibility, park area, park quality, and park congestion, ignoring the inequity of social benefits through interactions among mixed-income groups. Based on fine-grained mobile phone location data at the census block group level in 2018 and 2019, we explored visitation patterns and the mixed-income levels of visitors in urban parks in New York City. The visitors were divided into five income groups, with the “income entropy” used as a measure of the mixed level of the visitors in terms of income groups. We answered an important question: what factors affect the visitation intensity and the mixed level of income groups in urban park visitors? Our results revealed that the time of year and season, the parks’ characteristics, the built environment, and the socioeconomic characteristics of the park’s surrounding neighborhoods have strong associations with park use patterns. We also offered implications for urban planning and urban design to promote park visitation and income-diverse park use and improve social inclusion and environmental equity. © The Author(s) 2022.",2023,Environment and Planning B: Urban Analytics and City Science,50,3,796-813,10.1177/23998083221130708,#2559,Wei 2023,"Wei et al., 2023",,,,,,,,,,,,
Reconsidering Access: Park Facilities and Neighborhood Disamenities in New York City,"Weiss, CC; Purciel, M; Bader, M; Quinn, JW; Lovasi, G; Neckerman, KM; Rundle, AG","With increasing concern about rising rates of obesity, public health researchers have begun to examine the availability of parks and other spaces for physical activity, particularly in cities, to assess whether access to parks reduces the risk of obesity. Much of the research in this field has shown that proximity to parks may support increased physical activity in urban environments; however, as yet, there has been limited consideration of environmental impediments or disamenities that might influence individuals' perceptions or usage of public recreation opportunities. Prior research suggests that neighborhood disamenities, for instance crime, pedestrian safety, and noxious land uses, might dissuade people from using parks or recreational facilities and vary by neighborhood composition. Motivated by such research, this study estimates the relationship between neighborhood compositional characteristics and measures of park facilities, controlling for variation in neighborhood disamenities, using geographic information systems (GIS) data for New York City parks and employing both kernel density estimation and distance measures. The central finding is that attention to neighborhood disamenities can appreciably alter the relationship between neighborhood composition and spatial access to parks. Policy efforts to enhance the recreational opportunities in urban areas should expand beyond a focus on availability to consider also the hazards and disincentives that may influence park usage.",2011,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,88,2,297-310,10.1007/s11524-011-9551-z,#6826,Weiss 2011,"Weiss et al., 2011",,,,,,,,,,,,
Spatial disparities in the distribution of parks and green spaces in the USA.,"Wen, M; Zhang X; Harris CD; Holt JB; Croft JB","BACKGROUND: Little national evidence is available on spatial disparities in distributions of parks and green spaces in the USA. PURPOSE: This study examines ecological associations of spatial access to parks and green spaces with percentages of black, Hispanic, and low-income residents across the urban-rural continuum in the conterminous USA. METHODS: Census tract-level park and green space data were linked with data from the 2010 U.S. Census and 2006-2010 American Community Surveys. Linear mixed regression models were performed to examine these associations. RESULTS: Poverty levels were negatively associated with distances to parks and percentages of green spaces in urban/suburban areas while positively associated in rural areas. Percentages of blacks and Hispanics were in general negatively linked to distances to parks and green space coverage along the urban-rural spectrum. CONCLUSIONS: Place-based race-ethnicity and poverty are important correlates of spatial access to parks and green spaces, but the associations vary across the urbanization levels.",2013,Ann Behav Med,45 Suppl 1,Suppl 1,S18-27,10.1007/s12160-012-9426-x,#6106,Wen 2013,"Wen et al., 2013",,,,,,,,,,,,
Assessing equitable access to urban green space: The role of engineered water infrastructure,"Wendel, H.E.W.; Downs, J.A.; Mihelcic, J.R.","Urban green space and water features provide numerous social, environmental, and economic benefits, yet disparities often exist in their distribution and accessibility. This study examines the link between issues of environmental justice and urban water management to evaluate potential improvements in green space and surface water access through the revitalization of existing engineered water infrastructures, namely stormwater ponds. First, relative access to green space and water features were compared for residents of Tampa, Florida, and an inner-city community of Tampa (East Tampa). Although disparities were not found in overall accessibility between Tampa and East Tampa, inequalities were apparent when quality, diversity, and size of green spaces were considered. East Tampa residents had significantly less access to larger, more desirable spaces and water features. Second, this research explored approaches for improving accessibility to green space and natural water using three integrated stormwater management development scenarios. These scenarios highlighted the ability of enhanced water infrastructures to increase access equality at a variety of spatial scales. Ultimately, the ""greening"" of gray urban water infrastructures is advocated as a way to address environmental justice issues while also reconnecting residents with issues of urban water management. © 2011 American Chemical Society.",2011,Environmental Science and Technology,45,16,6728-6734,10.1021/es103949f,#5402,Wendel 2011,"Wendel et al., 2011",,,,,,,,,,,,
